"id","title","value","link","group"
"1","Wirkung von Mikronährstoffsupplementen auf Influenza und andere Atemwegsinfektionen bei Erwachsenen: eine systematische Übersichtsarbeit und Meta-Analyse","1","https://gh.bmj.com/content/6/1/e003176","Therapeutics"
"2","Therapeutics","187","","Therapeutics"
"3","BMJ Global Health","1","","BMJ Global Health"
"4","Kreuzreaktive CD4+ T-Zellen verstärken die SARS-CoV-2-Immunantwort bei Infektion und Impfung","1","https://www.science.org/doi/10.1126/science.abh1823","Immunity"
"5","Immunity","9","","Immunity"
"6","Science","2","","Science"
"7","Wirksamkeit der Covid-19-Impfung gegen das Risiko einer symptomatischen Infektion, eines Krankenhausaufenthalts und des Todes bis zu 9 Monaten: Eine schwedische Kohortenstudie an der Gesamtbevölkerung","1","https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3949410","Vaccines"
"8","Vaccines","48","","Vaccines"
"9","SSRN","1","","SSRN"
"10","Neurologische Nebenwirkungen der SARS-CoV-2-Impfung","1","https://onlinelibrary.wiley.com/doi/10.1111/ane.13550","Vaccines"
"11","Acta Neurologica Scandinavica","1","","Acta Neurologica Scandinavica"
"12","Vitamin-D-Status: Kann er das Infektionsrisiko und den Schweregrad der COVID-19-Symptome beeinflussen?","1","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8010782/","Therapeutics"
"13","Current Tropical Medicine Reports","1","","Current Tropical Medicine Reports"
"14","Die Rolle von pflanzlichen und ernährungswissenschaftlichen Behandlungen im Kampf gegen COVID-19 und andere Atemwegsinfektionen","1","https://www.mdpi.com/1660-4601/18/22/12001/htm","Therapeutics"
"15","International Journal of Environmental Research and Public Health","7","","International Journal of Environmental Research and Public Health"
"16","COVID-19 Mortalitätsrisiko korreliert umgekehrt mit dem Vitamin-D3-Status, und eine Mortalitätsrate nahe Null könnte theoretisch bei 50 ng/mL 25(OH)D3 erreicht werden: Ergebnisse einer systematischen Überprüfung und Meta-Analyse","1","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8541492/","Therapeutics"
"17","Nutrients","19","","Nutrients"
"18","Kann eine optimale Sonnenbestrahlung oder eine zusätzliche Vitamin-D-Zufuhr die Schwere der COVID-19-Symptome verringern?","1","https://www.mdpi.com/1660-4601/18/2/740/htm","Therapeutics"
"19","Kombination aus natürlichen Virostatika und starken Immunstärkungsmitteln: Ein natürliches Mittel zur Bekämpfung von COVID-19","1","https://onlinelibrary.wiley.com/doi/10.1002/ptr.7228","Therapeutics"
"20","Phytotherapy Research","1","","Phytotherapy Research"
"21","Zinksulfat in Kombination mit einem Zinkionophor kann die Ergebnisse bei hospitalisierten COVID-19-Patienten verbessern","1","https://www.microbiologyresearch.org/content/journal/jmm/10.1099/jmm.0.001250","Therapeutics"
"22","Journal of Medical Microbiology","1","","Journal of Medical Microbiology"
"23","Wirkungen potenzieller Mikro- und Makronährstoffe bei der Bekämpfung von COVID-19","1","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8404541/","Therapeutics"
"24","Current Surgery Reports","1","","Current Surgery Reports"
"25","Vitamin D, Infektionen und Immunität","1","https://link.springer.com/article/10.1007%2Fs11154-021-09679-5","Therapeutics"
"26","Reviews in Endocrine and Metabolic Disorders","2","","Reviews in Endocrine and Metabolic Disorders"
"27","Die Rolle von Vitamin D bei der Behandlung der COVID-19-assoziierten Koagulopathie: Probleme und Perspektive","1","https://link.springer.com/article/10.1007%2Fs11010-021-04093-6","Therapeutics"
"28","Molecular and Cellular Biochemistry","3","","Molecular and Cellular Biochemistry"
"29","Calcifediol-Behandlung und Krankenhaussterblichkeit aufgrund von COVID-19: Eine Kohortenstudie","1","https://www.mdpi.com/2072-6643/13/6/1760/htm","Therapeutics"
"30","Gibt es Beweise für eine Abschwächung der Entzündungsreaktion durch Nahrungsergänzungsmittel während der COVID-19-Pandemie? Ein Überblick über systematische Überprüfungen von Vitamin D, Vitamin C, Melatonin und Zink","1","https://www.mdpi.com/2072-6643/13/4/1261/htm","Therapeutics"
