filename,date,publisher,title,beschreibung,title,description,group,credit
2012-11-05-inflammation-research_s00011-021-01510-w.md,2021-11-05,Inflammation Research,"Interaktionen zwischen Darmmikrobiom, Vitamin D und ACE2 sind kritische Faktoren bei der Immunseneszenz und Entzündung: Schlüssel für die Impfstoffreaktion und den Schweregrad der COVID-19-Infektion","Die SARS-CoV-2-Pandemie breitet sich weiterhin sporadisch in den Vereinigten Staaten und weltweit aus.  Schweregrad und Sterblichkeit betrafen vor allem gebrechliche ältere Menschen mit Vorerkrankungen. Hinweise mehren sich, dass die Wechselwirkungen zwischen dem Darmmikrobiom, Vitamin D und dem RAS/ACE2-System für ein ausgewogenes Funktionieren des Immunsystems älterer Menschen und für die Regulierung von Entzündungen von wesentlicher Bedeutung sind. In dieser Übersichtsarbeit stellen wir die Hypothese auf, dass der Zustand des Darmmikrobioms vor der Infektion den Ausgang der COVID-19-Sepsis bestimmt und auch ein kritischer Faktor für den Impferfolg sein könnte. Artikel aus PubMed/Medline-Recherchen wurden mit einer Kombination der Begriffe ""SARS-CoV-2, COVID-19, Entzündung, Immun-Seneszenz, Darmmikrobiom, Vitamin D, RAS/ACE2, Impfung"" überprüft. Hinweise auf einen komplexen Zusammenhang zwischen dem Darmmikrobiom, der ACE-2-Expression und Vitamin D beim Schweregrad von COVID-19 existieren. Der Status des Darmmikrobioms ist in hohem Maße prädiktiv für die molekularen Signaturen und Entzündungsmarker im Blut sowie für die Reaktionen des Wirts auf Infektionen. Vitamin D hat eine immunmodulatorische Funktion bei der angeborenen und adaptiven Immunantwort auf virale Infektionen. Zu den entzündungshemmenden Funktionen von Vitamin D gehören die Regulierung des Darmmikrobioms und die Erhaltung der mikrobiellen Vielfalt. Es fördert das Wachstum darmfreundlicher kommensaler Stämme von Bifida- und Fermicutus-Arten. Darüber hinaus ist Vitamin D ein negativer Regulator für die Expression von Renin und interagiert mit der RAS/ACE/ACE-2-Signalachse. Zusammengenommen könnte dieser Dreiklang das entscheidende Bindeglied bei der Bestimmung des Ausgangs einer SARS-CoV-2-Infektion sein. Die vorgestellten Daten sind empirisch und informativ. Weitere Forschungen unter Verwendung fortschrittlicher systembiologischer Techniken und einer durch künstliche Intelligenz unterstützten Integration könnten dazu beitragen, das Darmmikrobiom mit Sepsis und Impfstoffreaktionen in Beziehung zu setzen. Die Modulation dieser Faktoren könnte den Erfolg von Impfstoffen und klinischen Ergebnissen bei COVID-19-Infektionen beeinflussen.","Gut microbiome, Vitamin D, ACE2 interactions are critical factors in immune-senescence and inflammaging: key for vaccine response and severity of COVID-19 infection","The SARS-CoV-2 pandemic continues to spread sporadically in the Unites States and worldwide. The severity and mortality excessively affected the frail elderly with co-existing medical diseases. There is growing evidence that cross-talk between the gut microbiome, Vitamin D and RAS/ACE2 system is essential for a balanced functioning of the elderly immune system and in regulating inflammation. In this review, we hypothesize that the state of gut microbiome, prior to infection determines the outcome associated with COVID-19 sepsis and may also be a critical factor in success to vaccination. Articles from PubMed/Medline searches were reviewed using a combination of terms ""SARS-CoV-2, COVID-19, Inflammaging, Immune-senescence, Gut microbiome, Vitamin D, RAS/ACE2, Vaccination"". Evidence indicates a complex association between gut microbiota, ACE-2 expression and Vitamin D in COVID-19 severity. Status of gut microbiome is highly predictive of the blood molecular signatures and inflammatory markers and host responses to infection. Vitamin D has immunomodulatory function in innate and adaptive immune responses to viral infection. Anti-inflammatory functions of Vit D include regulation of gut microbiome and maintaining microbial diversity. It promotes growth of gut-friendly commensal strains of Bifida and Fermicutus species. In addition, Vitamin D is a negative regulator for expression of renin and interacts with the RAS/ ACE/ACE-2 signaling axis. Collectively, this triad may be the critical, link in determination of outcomes in SARS-CoV-2 infection. The presented data are empirical and informative. Further research using advanced systems biology techniques and artificial intelligence-assisted integration could assist with correlation of the gut microbiome with sepsis and vaccine responses. Modulating these factors may impact in guiding the success of vaccines and clinical outcomes in COVID-19 infections.",Therapeutics,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8568567/
2017-08-01-biochimie_j.biochi.2017.07.016.md,2017-08-01,Biochimie,TMPRSS2: Ein potenzielles Ziel für die Behandlung von Infektionen mit Influenza- und Coronaviren,"Zu Beginn des 21. Jahrhunderts sind weltweit immer wieder Influenza- und Coronavirus-Epidemien oder -Pandemien aufgetreten. Diese Epidemien oder Pandemien stellen eine große Bedrohung für die menschliche Gesundheit dar. Hier wird die kritische Rolle der Wirtszellprotease TMPRSS2 bei Infektionen mit Influenzaviren und Coronaviren beschrieben und eine antivirale therapeutische Strategie vorgestellt, die auf TMPRSS2 abzielt.",TMPRSS2: A potential target for treatment of influenza virus and coronavirus infections,"Influenza virus and coronavirus epidemics or pandemics have occurred in succession worldwide throughout the early 21st century. These epidemics or pandemics pose a major threat to human health. Here, we outline a critical role of the host cell protease TMPRSS2 in influenza virus and coronavirus infections and highlight an antiviral therapeutic strategy targeting TMPRSS2.",Therapeutics,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7116903/
2020-04-16-diabetes-and-metabolic-syndrome_j.dsx.2020.04.015.md,2020-04-16,Diabetes & Metabolic Syndrome,"Stärkung der Immunität bei Virusinfektionen, mit besonderer Berücksichtigung von COVID-19: Ein Überblick","Eine ausgewogene Ernährung, die zur Aufrechterhaltung der Immunität beitragen kann, ist für die Prävention und Behandlung von Virusinfektionen von wesentlicher Bedeutung. Da keine Daten zur Ernährung bei Coronavirus-Infektionen (COVID-19) vorliegen, haben wir in dieser Übersichtsarbeit die Erkenntnisse aus früheren klinischen Studien ausgewertet, in denen ernährungsbasierte Interventionen bei Viruserkrankungen (mit besonderem Schwerpunkt auf Atemwegsinfektionen) untersucht wurden, und unsere Beobachtungen zusammengefasst. Mit Hilfe einer systematischen Suchstrategie und unter Verwendung von Schlüsselwörtern wurde die Literatur in 3 wichtigen medizinischen Datenbanken durchsucht: PubMed®, Web of Science® und SciVerse Scopus®. Als geeignet galten Studien, bei denen es sich um kontrollierte Studien am Menschen handelte, in denen immunologische Parameter zu Virus- und Atemwegsinfektionen gemessen wurden. Klinische Studien zu Vitaminen, Mineralien, Nahrungsergänzungsmitteln und Probiotika wurden einbezogen. Insgesamt wurden zunächst 640 Datensätze ermittelt und 22 Studien aus anderen Quellen einbezogen. Nach Ausschluss von Duplikaten und Artikeln, die die Einschlusskriterien nicht erfüllten, wurden 43 Studien gefunden (Vitamine: 13; Mineralstoffe: 8; Nutrazeutika: 18 und Probiotika: 4). Bei den Vitaminen zeigten A und D einen potenziellen Nutzen, insbesondere bei Bevölkerungsgruppen mit einem Mangel. Bei den Spurenelementen haben Selen und Zink ebenfalls günstige immunmodulatorische Wirkungen bei viralen Atemwegsinfektionen gezeigt. Mehrere Nutrazeutika und Probiotika könnten ebenfalls eine gewisse Rolle bei der Stärkung der Immunfunktionen spielen. Mikronährstoffe können bei älteren Menschen, die an Nährstoffmangel leiden, von Vorteil sein. Wir fassen den möglichen Nutzen einiger Vitamine, Spurenelemente, Nutrazeutika und Probiotika bei Virusinfektionen zusammen. Auf diesen Daten basierende Ernährungsprinzipien könnten bei der Prävention und Behandlung von COVID-19 nützlich sein.","Enhancing immunity in viral infections, with special emphasis on COVID-19: A review","Balanced nutrition which can help in maintaining immunity is essential for prevention and management of viral infections. While data regarding nutrition in coronavirus infection (COVID-19) are not available, in this review, we aimed to evaluate evidence from previous clinical trials that studied nutrition-based interventions for viral diseases (with special emphasis on respiratory infections), and summarise our observations. A systematic search strategy was employed using keywords to search the literature in 3 key medical databases: PubMed®, Web of Science® and SciVerse Scopus®. Studies were considered eligible if they were controlled trials in humans, measuring immunological parameters, on viral and respiratory infections. Clinical trials on vitamins, minerals, nutraceuticals and probiotics were included. A total of 640 records were identified initially and 22 studies were included from other sources. After excluding duplicates and articles that did not meet the inclusion criteria, 43 studies were obtained (vitamins: 13; minerals: 8; nutraceuticals: 18 and probiotics: 4). Among vitamins, A and D showed a potential benefit, especially in deficient populations. Among trace elements, selenium and zinc have also shown favourable immune-modulatory effects in viral respiratory infections. Several nutraceuticals and probiotics may also have some role in enhancing immune functions. Micronutrients may be beneficial in nutritionally depleted elderly population. We summaries possible benefits of some vitamins, trace elements, nutraceuticals and probiotics in viral infections. Nutrition principles based on these data could be useful in possible prevention and management of COVID-19.",Therapeutics,https://www.sciencedirect.com/science/article/pii/S1871402120300801
2020-06-06-international-journal-of-infectious-diseases_j.ijid.2020.06.006.md,2020-06-06,International Journal of Infectious Diseases,Behandlung von SARS-CoV-2 mit hochdosierten oralen Zinksalzen: Ein Bericht über vier Patienten,"Das Coronavirus 2019 (COVID-19) ist eine Pandemie mit hoher Sterblichkeit und ohne anerkannte Therapie. Wir berichten hier über vier aufeinanderfolgende ambulante Patienten mit klinischen Merkmalen (CDC-Falldefinition) von und/oder laborbestätigten COVID-19, die mit hochdosierten Zinksalz-Lutschtabletten behandelt wurden. Bei allen vier Patienten kam es nach einem Tag hochdosierter Therapie zu einer signifikanten Verbesserung der objektiven und symptomatischen Krankheitsmaße, was darauf schließen lässt, dass die Zinktherapie eine Rolle bei der klinischen Genesung spielt. Es wird ein Mechanismus für die Wirkung von Zink vorgeschlagen, der auf zuvor veröffentlichten Studien zu SARS-CoV-1 und randomisierten kontrollierten Studien zur Verkürzung der Dauer von Erkältungen durch Zink beruht. Die begrenzte Stichprobengröße und das Studiendesign schließen eine endgültige Aussage über die Wirksamkeit von Zink als Behandlung für COVID-19 aus, deuten aber auf die Variablen hin, die zur Bestätigung dieser ersten Ergebnisse in künftigen Studien untersucht werden müssen.",Treatment of SARS-CoV-2 with high dose oral zinc salts: A report on four patients,"Coronavirus 2019 (COVID-19) is a pandemic with substantial mortality and no accepted therapy. We report here on four consecutive outpatients with clinical characteristics (CDC case definition) of and/or laboratory-confirmed COVID-19 who were treated with high dose zinc salt oral lozenges. All four patients experienced significant improvement in objective and symptomatic disease measures after one day of high dose therapy suggesting that zinc therapy was playing a role in clinical recovery. A mechanism for zinc’s effects is proposed based on previously published studies on SARS- CoV-1, and randomized controlled trials assessing zinc shortening of common cold duration. The limited sample size and study design preclude a definitive statement about the effectiveness of zinc as a treatment for COVID-19 but suggest the variables to be addressed to confirm these initial findings in future trials.",Therapeutics,https://www.sciencedirect.com/science/article/pii/S1201971220304410
2020-06-06-medical-hypotheses_j.mehy.2020.109957.md,2020-06-06,Medical Hypotheses,Ist Hesperidin für die Prophylaxe und Behandlung der COVID-19-Infektion unerlässlich?,"SARS-CoV-2 oder COVID-19 stellt die größte globale Belastung dar, die in weniger als sechs Monaten weltweit mehr als 4,7 Millionen Infektionsfälle und 310 000 Todesfälle zur Folge hatte. Man erwartet, dass die Prävalenz dieser pandemischen Krankheit jeden Tag steigt. Die Herausforderung besteht darin, ihre rasche Ausbreitung zu kontrollieren und gleichzeitig nach einer spezifischen Behandlung zu suchen, um die Ergebnisse für die Patienten zu verbessern. Hesperidin ist ein klassisches pflanzliches Arzneimittel, das weltweit seit langem verwendet wird und ein ausgezeichnetes Sicherheitsprofil aufweist. Es wird als Antioxidans und entzündungshemmendes Mittel eingesetzt. Die wenigen verfügbaren Belege sprechen für einen vielversprechenden Einsatz von Hesperidin bei der Prophylaxe und Behandlung von COVID 19. Im Folgenden erörtern wir die möglichen prophylaktischen und therapeutischen Mechanismen von Hesperidin auf der Grundlage früherer und neuerer Erkenntnisse. Hesperidin kann das Eindringen des Coronavirus in die Wirtszellen über ACE2-Rezeptoren blockieren und so die Infektion verhindern. Die antivirale Aktivität von Hesperidin könnte eine Behandlungsmöglichkeit für COVID-19 darstellen, da es die zelluläre Immunität des Wirts gegen die Infektion verbessert und seine gute entzündungshemmende Wirkung bei der Kontrolle des Zytokinsturms helfen kann. Eine Hesperidin-Mischung mit Diosmin, die zusammen mit Heparin verabreicht wird, schützt vor venösen Thromboembolien, was das Fortschreiten der Krankheit verhindern könnte. Auf dieser Grundlage könnte Hesperidin als sinnvolles prophylaktisches Mittel und als vielversprechende adjuvante Behandlungsoption gegen die SARS-CoV-2-Infektion eingesetzt werden.",Is hesperidin essential for prophylaxis and treatment of COVID-19 Infection?,"SARS-CoV-2 or COVID-19 is representing the major global burden that implicated more than 4.7 million infected cases and 310 thousand deaths worldwide in less than 6 months. The prevalence of this pandemic disease is expected to rise every day. The challenge is to control its rapid spread meanwhile looking for a specific treatment to improve patient outcomes. Hesperidin is a classical herbal medicine used worldwide for a long time with an excellent safety profile. Hesperidin is a well-known herbal medication used as an antioxidant and anti-inflammatory agent. Available shreds of evidence support the promising use of hesperidin in prophylaxis and treatment of COVID 19. Herein, we discuss the possible prophylactic and treatment mechanisms of hesperidin based on previous and recent findings. Hesperidin can block coronavirus from entering host cells through ACE2 receptors which can prevent the infection. Anti-viral activity of hesperidin might constitute a treatment option for COVID-19 through improving host cellular immunity against infection and its good anti-inflammatory activity may help in controlling cytokine storm. Hesperidin mixture with diosmin co-administrated with heparin protect against venous thromboembolism which may prevent disease progression. Based on that, hesperidin might be used as a meaningful prophylactic agent and a promising adjuvant treatment option against SARS-CoV-2 infection.",Therapeutics,https://www.sciencedirect.com/science/article/pii/S030698772031358X?via%3Dihub
2020-06-19-frontiers-in-immunology_fimmu.2020.01451.md,2020-06-19,Frontiers in Immunology,"Quercetin und Vitamin C: Eine experimentelle, synergistische Therapie zur Vorbeugung und Behandlung von SARS-CoV-2-bedingten Erkrankungen (COVID-19)","Das Schwere Akute Respiratorische Syndrom Coronavirus-2 (SARS-CoV-2) stellt eine neue globale Bedrohung dar, die die Kapazitäten des Gesundheitswesens weltweit überfordert. Bis zum 27. Mai hat die durch SARS-CoV-2 (COVID-19) verursachte Krankheit weltweit mehr als 340.000 Todesfälle gefordert, davon allein 100.000 in den USA. Die Erforschung und Entwicklung geeigneter pharmakologischer Behandlungen für die Vorbeugung und Behandlung von COVID-19 ist dringend erforderlich. Ascorbinsäure ist ein wichtiges Vitamin, das für das korrekte Funktionieren des Immunsystems notwendig ist. Es spielt eine Rolle bei der Stressreaktion und hat bei der Verabreichung an schwerkranke Menschen vielversprechende Ergebnisse gezeigt. Quercetin ist ein bekanntes Flavonoid, dessen antivirale Eigenschaften in zahlreichen Studien untersucht worden sind. Es gibt Hinweise darauf, dass die gleichzeitige Verabreichung von Vitamin C und Quercetin eine synergistische antivirale Wirkung hat, die auf sich überschneidende antivirale und immunmodulatorische Eigenschaften und die Fähigkeit von Ascorbat, Quercetin zu recyceln, zurückzuführen ist, was dessen Wirksamkeit erhöht. Sichere, kostengünstige Maßnahmen, die eine solide biologische Grundlage haben, sollten im aktuellen Kontext einer globalen Gesundheitspandemie vorrangig für den experimentellen Einsatz eingesetzt werden. Wir präsentieren die aktuellen Belege für den Einsatz von Vitamin C und Quercetin sowohl zur Prophylaxe in Hochrisikogruppen als auch zur Behandlung von COVID-19-Patienten als Ergänzung zu vielversprechenden pharmakologischen Wirkstoffen wie Remdesivir oder Rekonvaleszenzplasma.","Quercetin and Vitamin C: An Experimental, Synergistic Therapy for the Prevention and Treatment of SARS-CoV-2 Related Disease (COVID-19)","Severe Acute Respiratory Syndrome Coronavirus-2 (SARS-CoV-2) represents an emergent global threat which is straining worldwide healthcare capacity. As of May 27th, the disease caused by SARS-CoV-2 (COVID-19) has resulted in more than 340,000 deaths worldwide, with 100,000 deaths in the US alone. It is imperative to study and develop pharmacological treatments suitable for the prevention and treatment of COVID-19. Ascorbic acid is a crucial vitamin necessary for the correct functioning of the immune system. It plays a role in stress response and has shown promising results when administered to the critically ill. Quercetin is a well-known flavonoid whose antiviral properties have been investigated in numerous studies. There is evidence that vitamin C and quercetin co-administration exerts a synergistic antiviral action due to overlapping antiviral and immunomodulatory properties and the capacity of ascorbate to recycle quercetin, increasing its efficacy. Safe, cheap interventions which have a sound biological rationale should be prioritized for experimental use in the current context of a global health pandemic. We present the current evidence for the use of vitamin C and quercetin both for prophylaxis in high-risk populations and for the treatment of COVID-19 patients as an adjunct to promising pharmacological agents such as Remdesivir or convalescent plasma.",Therapeutics,https://www.frontiersin.org/articles/10.3389/fimmu.2020.01451/full
2020-07-08-bmjopen_bmjopen-2020-039519.md,2020-07-08,BMJ Open,Intravenöses hochdosiertes Vitamin C zur Behandlung von schwerem COVID-19: Studienprotokoll für eine multizentrische randomisierte kontrollierte Studie,"Die rasche weltweite Ausbreitung von COVID-19 hat eine globale Gesundheitskrise verursacht. Bislang war die symptomatische unterstützende Behandlung die gängigste Therapie. Berichtet wurde, dass der Mechanismus von COVID-19 mit Zytokinstürmen und nachfolgenden immunogenen Schäden zusammenhängt, insbesondere mit Schäden am Endothel und der Alveolarmembran. Vitamin C (VC), auch bekannt als L-Ascorbinsäure, hat nachweislich antimikrobielle und immunmodulatorische Eigenschaften. Eine hohe Dosis intravenöser VC (HIVC) blockiert nachweislich mehrere Schlüsselkomponenten von Zytokinstürmen, und HIVC erwies sich in klinischen Studien bei Patienten mit bakteriell bedingter Sepsis und akutem Atemnotsyndrom (ARDS) als sicher und in unterschiedlichem Maße wirksam. Daher stellen wir die Hypothese auf, dass HIVC zur Behandlung von ARDS und Multiorganversagen im Zusammenhang mit COVID-19 eingesetzt werden könnte. Die Forscher haben eine multizentrische, prospektive, randomisierte, placebokontrollierte Studie konzipiert, an der 308 Erwachsene teilnehmen sollen, bei denen COVID-19 diagnostiziert und auf die Intensivstation verlegt wurde. Die Teilnehmer erhalten nach dem Zufallsprinzip in sterilem Wasser verdünntes HIVC oder ein Placebo für 7 Tage, sobald sie eingeschrieben sind. Patienten mit einer VC-Allergie in der Vorgeschichte, einer Lungenerkrankung im Endstadium, einer fortgeschrittenen malignen Erkrankung oder einem Glucose-6-Phosphat-Dehydrogenase-Mangel werden ausgeschlossen. Das primäre Ergebnis sind beatmungsfreie Tage innerhalb von 28 Beobachtungstagen. Dies ist eine der ersten klinischen Studien, in denen HIVC zur Behandlung von COVID-19 eingesetzt wird, und sie wird glaubwürdige Daten zur Wirksamkeit und Sicherheit liefern. Wir gehen davon aus, dass HIVC die durch COVID-19 verursachten Zytokinstürme unterdrücken, zur Verbesserung der Lungenfunktion beitragen und das ARDS-Risiko von COVID-19 verringern könnte.",Intravenous high-dose vitamin C for the treatment of severe COVID-19: study protocol for a multicentre randomised controlled trial,"The rapid worldwide spread of COVID-19 has caused a global health crisis. To date, symptomatic supportive care has been the most common treatment. It has been reported that the mechanism of COVID-19 is related to cytokine storms and subsequent immunogenic damage, especially damage to the endothelium and alveolar membrane. Vitamin C (VC), also known as L-ascorbic acid, has been shown to have antimicrobial and immunomodulatory properties. A high dose of intravenous VC (HIVC) was proven to block several key components of cytokine storms, and HIVC showed safety and varying degrees of efficacy in clinical trials conducted on patients with bacterial-induced sepsis and acute respiratory distress syndrome (ARDS). Therefore, we hypothesise that HIVC could be added to the treatment of ARDS and multiorgan dysfunction related to COVID-19. The investigators designed a multicentre prospective randomised placebo-controlled trial that is planned to recruit 308 adults diagnosed with COVID-19 and transferred into the intensive care unit. Participants will randomly receive HIVC diluted in sterile water or placebo for 7 days once enrolled. Patients with a history of VC allergy, end-stage pulmonary disease, advanced malignancy or glucose-6-phosphate dehydrogenase deficiency will be excluded. The primary outcome is ventilation-free days within 28 observational days. This is one of the first clinical trials applying HIVC to treat COVID-19, and it will provide credible efficacy and safety data. We predict that HIVC could suppress cytokine storms caused by COVID-19, help improve pulmonary function and reduce the risk of ARDS of COVID-19.",Therapeutics,https://bmjopen.bmj.com/content/10/7/e039519.long
2020-07-19-bioimpacts_bi.2020.27.md,2020-07-19,BioImpacts,Wirkung von Bromhexin auf die klinischen Ergebnisse und die Sterblichkeit bei COVID-19-Patienten: Eine randomisierte klinische Studie,"Bromhexin ist eine potenzielle therapeutische Option bei COVID-19, aber es liegen keine Daten aus einer randomisierten klinischen Studie vor. Ziel der vorliegenden Studie war, die Wirksamkeit von Bromhexin in Bezug auf die Aufnahme auf die Intensivstation, die mechanische Beatmung und die Sterblichkeit bei Patienten mit COVID-19 zu untersuchen. Eine offene, randomisierte klinische Studie wurde in Tabriz im Nordwesten des Iran durchgeführt. Die Patienten wurden im Verhältnis 1:1 entweder der Bromhexin-Gruppe oder der Kontrollgruppe zugeteilt, wobei 39 Patienten in jeder Gruppe waren. In beiden Gruppen wurde die Standardtherapie angewandt, und die Patienten in der Behandlungsgruppe erhielten zusätzlich dreimal täglich 8 mg Bromhexin oral. Das primäre Ergebnis war ein Rückgang der Zahl der Einweisungen in die Intensivstation, der Intubation/mechanischen Beatmung und der Sterblichkeit. Insgesamt wurden 78 Patienten mit ähnlichen demografischen und Krankheitsmerkmalen in die Studie aufgenommen. In der mit Bromhexin behandelten Gruppe kam es im Vergleich zur Standardgruppe zu einer signifikanten Verringerung der Einweisungen in die Intensivstation (2 von 39 gegenüber 11 von 39, P = 0,006), der Intubation (1 von 39 gegenüber 9 von 39, P = 0,007) und des Todes (0 gegenüber 5, P = 0,027). Kein Patient wurde wegen unerwünschter Wirkungen aus der Studie genommen. Die frühe Verabreichung von oralem Bromhexin verringert die Verlegung auf die Intensivstation, die Intubation und die Sterblichkeitsrate bei Patienten mit COVID-19. Dieses erschwingliche Medikament kann überall leicht verabreicht werden und hat enorme positive Auswirkungen auf die öffentliche Gesundheit und die Weltwirtschaft. Insgesamt wird die Überprüfung unserer Ergebnisse in einem größeren Maßstab und in verschiedenen medizinischen Zentren dringend empfohlen.",Effect of bromhexine on clinical outcomes and mortality in COVID-19 patients: A randomized clinical trial,"Bromhexine is a potential therapeutic option in COVID-19, but no data from a randomized clinical trial has been available. The present study aimed to evaluate the efficacy of bromhexine in intensive care unit (ICU) admission, mechanical ventilation, and mortality in patients with COVID-19. An open-label randomized clinical trial study was performed in Tabriz, North-West of Iran. They were randomized to either the treatment with the bromhexine group or the control group, in a 1:1 ratio with 39 patients in each arm. Standard therapy was used in both groups and those patients in the treatment group received oral bromhexine 8 mg three times a day additionally. The primary outcome was a decrease in the rate of ICU admissions, intubation/mechanical ventilation, and mortality. A total of 78 patients with similar demographic and disease characteristics were enrolled. There was a significant reduction in ICU admissions (2 out of 39 vs. 11 out of 39, P = 0.006), intubation (1 out of 39 vs. 9 out of 39, P = 0.007) and death (0 vs. 5, P = 0.027) in the bromhexine treated group compared to the standard group. No patients were withdrawn from the study because of adverse effects. The early administration of oral bromhexine reduces the ICU transfer, intubation, and the mortality rate in patients with COVID-19. This affordable medication can easily be administered everywhere with a huge positive impact(s) on public health and the world economy. Altogether, the verification of our results on a larger scale and different medical centers is strongly recommended.",Therapeutics,https://bi.tbzmed.ac.ir/FullHtml/bi-23240
2020-07-25-nutrition_j.nut.2020.110948.md,2020-07-25,Nutrition,Vitamin C als Prophylaxe und begleitende medizinische Behandlung für COVID-19?,"Das Coronavirus 2 verursacht das schwere akute respiratorische Syndrom, die potenziell tödliche Coronavirus-Krankheit 2019 (COVID-19). Bereits während des Ausbruchs des Coronavirus 1 wurde der Einsatz von Vitamin C vorgeschlagen. Viele Patienten mit schwerer COVID-19-Erkrankung weisen erhöhte Werte der Mediatoren Interleukin-6 und Endothelin-1 auf. Diese Mediatoren können die Altersabhängigkeit der COVID-19-Pneumonie, das Überwiegen männlicher und fettleibiger oder hypertensiver Patienten sowie von Farbigen und Rauchern erklären. Es gibt eindeutige Hinweise darauf, dass Vitamin C in hohen Dosen diese Mediatoren reduzieren kann. Vitamin C ist billig und sicher. Daher kann eine relativ niedrige Dosis Vitamin C zur Prophylaxe und in Fällen von schwerem COVID-19 eine (intravenöse) hochdosierte Behandlung von Nutzen sein. Es wird erwartet, dass die laufenden klinischen Studien mehr endgültige Beweise liefern werden.",Vitamin C as prophylaxis and adjunctive medical treatment for COVID-19?,"Severe acute respiratory syndrome coronavirus 2 causes the potentially fatal coronavirus disease 2019 (COVID-19). Already during the outbreak of the severe acute respiratory syndrome coronavirus 1, the use of vitamin C was suggested. Many patients with severe COVID-19 have elevated levels of the mediators interleukin-6 and endothelin-1. These mediators may explain the age dependence of COVID-19 pneumonia, the preponderance of male and obese or hypertensive patients, as well as of persons of color and smokers. There is clear evidence that vitamin C in high doses can reduce these mediators. Vitamin C is cheap and safe. Hence, using a relatively low dose of vitamin C as prophylaxis, and in cases of severe COVID-19, an (intravenous) high-dose regimen may be beneficial. Ongoing clinical trials are expected to provide more definitive evidence.",Therapeutics,https://www.sciencedirect.com/science/article/pii/S0899900720302318
2020-08-13-antioxidants_antiox9080742.md,2020-05-13,Antioxidants,Hesperidin und SARS-CoV-2: Neues Licht auf die gesundheitliche Funktion von Zitrusfrüchten,"Unter den zahlreichen Ansätzen zur Prävention der Coronavirus-Krankheit 2019 (COVID-19) wurde die mögliche Rolle der Ernährung bisher eher unterschätzt. Lebensmittel sind sehr reich an Stoffen mit potenziell gesundheitsfördernder Wirkung, und einige von ihnen könnten eine antivirale Wirkung haben oder bei der Modulation des Immunsystems und beim Schutz der Zellen vor dem mit der Infektion verbundenen oxidativen Stress wichtig sein. Diese kurze Übersicht lenkt die Aufmerksamkeit auf einige Bestandteile von Zitrusfrüchten, insbesondere der Orange (Citrus sinensis), die für ihren Vitamin- und Flavonoidgehalt bekannt ist. Unter den Flavonoiden hat Hesperidin kürzlich die Aufmerksamkeit der Forscher auf sich gezogen, da es an die Schlüsselproteine des Coronavirus 2 des Schweren Akuten Respiratorischen Syndroms (SARS-CoV-2) bindet. Mehrere von verschiedenen Forschern unabhängig voneinander angewandte Berechnungsmethoden haben gezeigt, dass Hesperidin eine niedrige Bindungsenergie aufweist, sowohl für das ""Spike""-Protein des Coronavirus als auch für die Hauptprotease, die die frühen Proteine des Virus (pp1a und ppa1b) in den für die Virusreplikation verantwortlichen Komplex umwandelt. Die Bindungsenergie von Hesperidin an diese wichtigen Komponenten ist geringer als die von Lopinavir, Ritonavir und Indinavir, was darauf schließen lässt, dass es eine wirksame antivirale Wirkung entfalten könnte. Außerdem wirken sowohl Hesperidin als auch Ascorbinsäure den zellschädigenden Wirkungen der freien Sauerstoffradikale entgegen, die durch Virusinfektionen und Entzündungen ausgelöst werden. Die präventive Wirksamkeit von Vitamin C in der durch die Ernährung erreichbaren Dosis ist umstritten, aber neuere Untersuchungen deuten darauf hin, dass diese Substanz bei einer starken Belastung des Immunsystems durch eine Viruserkrankung nützlich sein kann. Computergestützte Methoden und Laborstudien unterstützen die Notwendigkeit, geeignete präklinische, epidemiologische und experimentelle Studien über den potenziellen Nutzen von Zitrusfruchtbestandteilen für die Prävention von Infektionskrankheiten, einschließlich COVID-19, durchzuführen.",Hesperidin and SARS-CoV-2: New Light on the Healthy Function of Citrus Fruits,"Among the many approaches to Coronavirus disease 2019 (COVID-19) prevention, the possible role of nutrition has so far been rather underestimated. Foods are very rich in substances, with a potential beneficial effect on health, and some of these could have an antiviral action or be important in modulating the immune system and in defending cells from the oxidative stress associated with infection. This short review draws the attention on some components of citrus fruits, and especially of the orange (Citrus sinensis), well known for its vitamin and flavonoid content. Among the flavonoids, hesperidin has recently attracted the attention of researchers, because it binds to the key proteins of the Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). Several computational methods, independently applied by different researchers, showed that hesperidin has a low binding energy, both with the coronavirus “spike” protein, and with the main protease that transforms the early proteins of the virus (pp1a and ppa1b) into the complex responsible for viral replication. The binding energy of hesperidin to these important components is lower than that of lopinavir, ritonavir, and indinavir, suggesting that it could perform an effective antiviral action. Furthermore, both hesperidin and ascorbic acid counteract the cell damaging effects of the oxygen free radicals triggered by virus infection and inflammation. There is discussion about the preventive efficacy of vitamin C, at the dose achievable by the diet, but recent reviews suggest that this substance can be useful in the case of strong immune system burden caused by viral disease. Computational methods and laboratory studies support the need to undertake apposite preclinical, epidemiological, and experimental studies on the potential benefits of citrus fruit components for the prevention of infectious diseases, including COVID-19.",Therapeutics,https://www.mdpi.com/2076-3921/9/8/742/htm
